Subject,Trial,Category,Image,Valence,Arousal,IMidx
12,33,2,flower010.png,7,7,53
12,34,2,flower012.png,9,8,55
12,35,2,flower003.png,6,5,46
12,36,1,face008.png,2,5,17
12,37,2,flower014.png,8,6,57
12,38,2,flower008.png,9,9,51
12,39,3,snake020.png,1,7,83
12,40,2,flower006.png,7,5,49
12,41,2,flower020.png,9,8,63
12,42,1,face006.png,2,6,12
12,45,1,face003.png,2,8,9
12,46,2,flower016.png,8,7,59
12,47,2,flower013.png,7,5,56
12,48,1,face012.png,4,5,32
12,49,3,snake007.png,2,6,70
12,50,2,flower011.png,6,7,54
12,53,3,snake013.png,1,6,76
12,54,3,snake002.png,7,7,65
12,56,3,snake009.png,1,7,72
12,58,1,face002.png,4,5,5
12,59,2,flower007.png,7,6,50
12,60,3,snake016.png,1,6,79
12,61,1,face009.png,2,7,18
12,62,1,face001.png,2,7,3
12,63,3,snake012.png,1,7,75
12,64,1,face004.png,2,7,10
12,65,2,flower019.png,8,7,62
12,67,2,flower018.png,6,5,61
12,68,2,flower004.png,8,8,47
12,69,1,face018.png,4,6,41
12,70,2,flower009.png,6,5,52
12,71,2,flower015.png,7,7,58
12,73,1,face020.png,2,6,43
12,75,1,face014.png,2,7,37
12,78,1,face011.png,2,7,29
12,79,3,snake018.png,1,7,81
12,81,3,snake008.png,1,7,71
12,83,1,face016.png,2,7,39
13,1,1,face006.png,2,7,12
13,2,3,snake020.png,2,7,83
13,4,2,flower002.png,7,3,45
13,5,2,flower016.png,6,6,59
13,6,3,snake002.png,3,8,65
13,7,3,snake007.png,1,8,70
13,8,1,face012.png,4,6,32
13,9,1,face002.png,2,7,5
13,11,1,face014.png,3,6,37
13,14,3,snake003.png,2,8,66
13,15,2,flower001.png,7,7,44
13,16,2,flower017.png,7,8,60
13,17,3,snake008.png,3,7,71
13,19,3,snake010.png,3,7,73
13,20,3,snake001.png,1,8,64
13,21,1,face013.png,2,7,33
13,23,1,face007.png,2,7,14
13,24,3,snake012.png,1,9,75
13,25,1,face005.png,3,3,11
13,26,2,flower014.png,7,3,57
13,27,3,snake016.png,1,8,79
13,28,1,face020.png,2,8,43
13,29,1,face019.png,3,5,42
13,31,3,snake017.png,3,6,80
13,32,2,flower020.png,4,3,63
13,33,1,face015.png,4,4,38
13,36,2,flower007.png,7,6,50
13,37,3,snake009.png,2,7,72
13,38,2,flower008.png,6,7,51
13,39,1,face004.png,3,6,10
13,41,2,flower013.png,6,4,56
13,42,2,flower004.png,7,6,47
13,43,2,flower012.png,7,7,55
13,45,3,snake006.png,2,7,69
13,46,1,face011.png,3,4,29
13,47,2,flower009.png,6,6,52
13,48,2,flower003.png,5,4,46
13,50,2,flower010.png,6,5,53
13,51,1,face010.png,4,3,27
13,53,3,snake005.png,3,7,68
13,54,2,flower005.png,7,6,48
13,55,2,flower011.png,8,7,54
13,57,3,snake015.png,1,8,78
13,58,2,flower006.png,7,7,49
13,60,2,flower019.png,7,7,62
13,64,1,face016.png,3,7,39
13,66,3,snake019.png,1,8,82
13,68,1,face008.png,2,9,17
13,69,3,snake014.png,1,7,77
13,70,3,snake011.png,1,8,74
13,71,1,face018.png,2,7,41
13,72,2,flower018.png,6,7,61
13,73,3,snake004.png,2,8,67
13,74,1,face009.png,2,8,18
