IMname,Category,Energy,Frequency
7,1,464522961,10
7,1,212568545.1,11
7,1,78989844.68,12
7,1,78569944.87,13
7,1,66416816.59,14
7,1,70678427.96,15
7,1,72487649.52,16
7,1,51132817.65,17
7,1,20538164.46,18
7,1,14280958.73,19
7,1,15326173.02,20
7,1,13445411.19,21
7,1,12922146.97,22
7,1,12303400.18,23
7,1,12809101.77,24
7,1,11234832.84,25
7,1,11038720.46,26
7,1,10772616.43,27
7,1,12392104.38,28
7,1,11054924.07,29
7,1,9247573.621,30
7,1,10596696.93,31
7,1,7427787.121,32
7,1,6795256.441,33
7,1,5095837,34
7,1,5637268.63,35
7,1,5098526.792,36
7,1,3829441.029,37
7,1,3439098.565,38
7,1,2497476.92,39
7,1,2121199.28,40
7,1,1658094.801,41
7,1,1540313.549,42
7,1,1559766.317,43
7,1,1757509.344,44
7,1,1494012.263,45
7,1,1420016.527,46
7,1,1625700.455,47
7,1,1373135.351,48
7,1,1088209.766,49
7,1,1211353.019,50
7,1,964688.5607,51
7,1,744037.695,52
7,1,845310.324,53
7,1,684730.7439,54
7,1,591881.515,55
7,1,583676.8818,56
7,1,483410.3288,57
7,1,420329.2822,58
7,1,421999.8106,59
7,1,342664.5158,60
7,1,354832.4562,61
7,1,327731.2522,62
7,1,298568.126,63
7,1,314057.7975,64
7,1,300960.1528,65
7,1,241207.4026,66
7,1,258298.7114,67
7,1,187284.7275,68
7,1,150915.2628,69
7,1,120761.1062,70
7,1,116959.8253,71
7,1,99159.68829,72
7,1,72105.7543,73
7,1,60070.49154,74
7,1,59001.81479,75
7,1,44372.53867,76
7,1,33839.09194,77
7,1,35153.96207,78
7,1,28478.39242,79
7,1,25813.64706,80
7,1,21296.90743,81
7,1,18820.35767,82
7,1,16003.02578,83
7,1,14781.00365,84
7,1,13487.28193,85
7,1,9874.092033,86
7,1,9749.910847,87
7,1,9210.648913,88
7,1,8183.582918,89
7,1,8041.469433,90
8,1,6.02E+11,1
8,1,55834081784,2
8,1,21616825474,3
8,1,11403762337,4
8,1,5489632339,5
8,1,1413341567,6
8,1,1690518735,7
8,1,773757376.3,8
8,1,440625769.9,9
8,1,538147374.9,10
8,1,207458248.7,11
8,1,158229488.6,12
8,1,178870158.9,13
8,1,213891454.5,14
8,1,148106171.8,15
8,1,165891829.5,16
