Subject,Trial,Category,Image,Valence,Arousal,IMidx
2,13,3,snake017.png,2,7,57
2,22,3,snake018.png,4,8,58
2,54,3,snake019.png,4,5,59
2,29,3,snake020.png,5,6,60
3,49,1,face001.png,3,3,1
3,34,1,face002.png,3,3,2
3,33,1,face003.png,3,4,3
3,53,1,face004.png,3,3,4
3,15,1,face005.png,3,4,5
3,57,1,face006.png,3,4,6
3,8,1,face007.png,3,6,7
3,36,1,face008.png,3,4,8
3,29,1,face009.png,2,6,9
3,25,1,face010.png,3,3,10
3,13,1,face011.png,2,4,11
3,41,1,face012.png,3,2,12
3,38,1,face013.png,3,3,13
3,27,1,face014.png,3,4,14
3,21,1,face015.png,3,6,15
3,50,1,face016.png,3,2,16
3,31,1,face017.png,2,6,17
3,58,1,face018.png,3,4,18
3,47,1,face019.png,3,4,19
3,3,1,face020.png,3,7,20
3,54,2,flower001.png,5,3,21
3,44,2,flower002.png,3,2,22
3,7,2,flower003.png,6,3,23
3,17,2,flower004.png,5,3,24
3,14,2,flower005.png,5,3,25
3,48,2,flower006.png,3,5,26
3,18,2,flower007.png,6,4,27
3,59,2,flower008.png,5,3,28
3,56,2,flower009.png,5,4,29
3,30,2,flower010.png,5,3,30
3,5,2,flower011.png,5,2,31
3,4,2,flower012.png,7,3,32
3,37,2,flower013.png,5,3,33
3,19,2,flower014.png,5,2,34
3,40,2,flower015.png,5,3,35
3,16,2,flower016.png,5,3,36
3,10,2,flower017.png,6,3,37
3,60,2,flower018.png,5,6,38
3,42,2,flower019.png,5,3,39
3,20,2,flower020.png,5,3,40
3,22,3,snake001.png,3,3,41
3,45,3,snake002.png,3,3,42
3,51,3,snake003.png,2,2,43
3,1,3,snake004.png,3,3,44
3,6,3,snake005.png,3,4,45
3,32,3,snake006.png,3,2,46
3,2,3,snake007.png,3,3,47
3,39,3,snake008.png,3,3,48
3,26,3,snake009.png,3,2,49
3,12,3,snake010.png,2,7,50
3,9,3,snake011.png,3,3,51
3,52,3,snake012.png,3,3,52
3,35,3,snake013.png,2,4,53
3,28,3,snake014.png,2,5,54
3,55,3,snake015.png,3,3,55
3,23,3,snake016.png,3,4,56
3,24,3,snake017.png,3,2,57
3,11,3,snake018.png,2,6,58
3,43,3,snake019.png,3,3,59
3,46,3,snake020.png,3,2,60
4,29,1,face001.png,7,6,1
4,38,1,face002.png,6,6,2
4,57,1,face003.png,2,7,3
4,30,1,face004.png,8,7,4
4,44,1,face005.png,7,6,5
4,7,1,face006.png,2,8,6
4,47,1,face007.png,8,7,7
4,8,1,face008.png,1,9,8
4,13,1,face009.png,3,4,9
4,56,1,face010.png,6,6,10
4,12,1,face011.png,3,4,11
4,25,1,face012.png,7,7,12
4,59,1,face013.png,2,7,13
4,43,1,face014.png,7,5,14
4,21,1,face015.png,6,6,15
4,36,1,face016.png,6,6,16
4,5,1,face017.png,1,8,17
4,42,1,face018.png,6,5,18
4,16,1,face019.png,4,2,19
4,6,1,face020.png,3,6,20
4,26,2,flower001.png,5,3,21
4,53,2,flower002.png,5,2,22
4,24,2,flower003.png,5,2,23
4,60,2,flower004.png,5,2,24
4,46,2,flower005.png,4,4,25
4,34,2,flower006.png,5,3,26
4,20,2,flower007.png,5,1,27
4,2,2,flower008.png,8,6,28
4,9,2,flower009.png,5,6,29
4,33,2,flower010.png,4,3,30
4,17,2,flower011.png,5,2,31
4,15,2,flower012.png,5,1,32
4,31,2,flower013.png,5,4,33
4,40,2,flower014.png,5,2,34
4,55,2,flower015.png,4,3,35
4,19,2,flower016.png,5,4,36
4,27,2,flower017.png,5,1,37
4,10,2,flower018.png,6,4,38
4,18,2,flower019.png,5,3,39
4,54,2,flower020.png,5,3,40
4,32,3,snake001.png,4,3,41
4,1,3,snake002.png,5,3,42
4,28,3,snake003.png,4,4,43
4,52,3,snake004.png,4,5,44
4,37,3,snake005.png,5,4,45
4,50,3,snake006.png,5,5,46
4,39,3,snake007.png,5,4,47
4,3,3,snake008.png,3,5,48
4,41,3,snake009.png,5,3,49
4,4,3,snake010.png,6,6,50
4,49,3,snake011.png,6,5,51
4,35,3,snake012.png,4,3,52
4,45,3,snake013.png,6,5,53
4,51,3,snake014.png,5,5,54
4,22,3,snake015.png,5,5,55
4,11,3,snake016.png,5,3,56
4,23,3,snake017.png,6,5,57
4,14,3,snake018.png,5,2,58
4,48,3,snake019.png,4,6,59
4,58,3,snake020.png,3,6,60
5,48,1,face001.png,1,7,1
5,58,1,face002.png,1,8,2
5,21,1,face003.png,1,8,3
5,52,1,face004.png,1,9,4
5,8,1,face005.png,1,3,5
5,10,1,face006.png,1,7,6
5,29,1,face007.png,3,3,7
5,13,1,face008.png,1,8,8
5,3,1,face009.png,1,9,9
5,6,1,face010.png,1,1,10
5,39,1,face011.png,2,2,11
5,25,1,face012.png,1,7,12
5,56,1,face013.png,1,8,13
